VisitorTeam	VisitorPTS	HomeTeam	HomePTS	Attendance
MinnesotaTimberwolves	96	BrooklynNets	94	17732
BostonCeltics	143	MiamiHeat	110	20074
DenverNuggets	84	NewYorkKnicks	122	19812
SacramentoKings	134	GoldenStateWarriors	133	18064
ChicagoBulls	132	LosAngelesLakers	141	18997
DallasMavericks	148	AtlantaHawks	143	16149
HoustonRockets	138	CharlotteHornets	104	16164
PhoenixSuns	131	IndianaPacers	133	17274
LosAngelesClippers	127	TorontoRaptors	107	19800
OrlandoMagic	106	MemphisGrizzlies	107	16823
ClevelandCavaliers	112	MilwaukeeBucks	100	17855
OklahomaCityThunder	107	NewOrleansPelicans	83	18624
PortlandTrailBlazers	100	SanAntonioSpurs	116	17274
WashingtonWizards	118	DetroitPistons	104	16922
MiamiHeat	109	NewYorkKnicks	125	19812
Philadelphia76ers	105	DenverNuggets	111	19805
HoustonRockets	104	BrooklynNets	106	17732
LosAngelesClippers	115	BostonCeltics	96	19156
UtahJazz	134	CharlotteHornets	122	17633
NewOrleansPelicans	117	MilwaukeeBucks	141	17940
LosAngelesLakers	145	GoldenStateWarriors	144	18064
MinnesotaTimberwolves	112	SanAntonioSpurs	113	17726
SacramentoKings	120	DallasMavericks	115	20373
OklahomaCityThunder	104	DetroitPistons	120	16861
MemphisGrizzlies	110	IndianaPacers	116	16519
TorontoRaptors	125	AtlantaHawks	126	15658
PhoenixSuns	98	OrlandoMagic	113	18823
ChicagoBulls	104	PortlandTrailBlazers	96	17899
NewYorkKnicks	113	CharlotteHornets	92	15546
LosAngelesClippers	108	ClevelandCavaliers	118	19432
NewOrleansPelicans	112	BostonCeltics	118	19156
UtahJazz	114	BrooklynNets	147	16054
PhoenixSuns	118	MiamiHeat	105	19600
LosAngelesLakers	119	HoustonRockets	135	18055
SacramentoKings	103	MemphisGrizzlies	94	15333
MinnesotaTimberwolves	107	OklahomaCityThunder	101	16870
WashingtonWizards	118	SanAntonioSpurs	113	17020
OrlandoMagic	129	DallasMavericks	131	20020
MilwaukeeBucks	107	DenverNuggets	113	19801
Philadelphia76ers	104	PortlandTrailBlazers	130	17128
LosAngelesLakers	122	AtlantaHawks	138	17871
IndianaPacers	124	BostonCeltics	129	19156
UtahJazz	103	NewYorkKnicks	118	19133
TorontoRaptors	118	ChicagoBulls	107	21259
Philadelphia76ers	107	GoldenStateWarriors	119	18064
ChicagoBulls	117	CharlotteHornets	110	13712
DetroitPistons	121	ClevelandCavaliers	128	19432
LosAngelesClippers	125	WashingtonWizards	109	17201
SacramentoKings	106	MiamiHeat	115	19600
NewOrleansPelicans	110	HoustonRockets	99	18055
DallasMavericks	87	MinnesotaTimberwolves	121	18024
DenverNuggets	100	OklahomaCityThunder	105	16723
OrlandoMagic	108	SanAntonioSpurs	98	17081
PhoenixSuns	136	BrooklynNets	120	17732
MilwaukeeBucks	116	PortlandTrailBlazers	119	19335
